name,company,technology,job,location,salary
Senior Data Engineer with Python,Objectivity - part of Accenture,"Data, databricks, python, pyspark",data analyst,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '21840', 'high': '30240', 'currency': 'PLN'}"
Data Engineer,Sunscrapers,"Data, python, pandas, sequel",data analyst,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '24000', 'currency': 'PLN'}"
Data Engineer,Knowit,"Data, sql, data warehouse, power bi",data analyst,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '16800', 'high': '23520', 'currency': 'PLN'}"
PL / SQL Developer,Ośrodek Przetwarzania Informacji - PIB,"Data, sql, pl/sql, json",data analyst,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '10000', 'high': '13000', 'currency': 'PLN'}"
Data Engineer Hive Spark Scala,JSS Associates,"Data, spark, scala, hadoop",data analyst,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '21000', 'high': '25200', 'currency': 'PLN'}"
Senior Data Engineer,Link Group,"Data, sql, python, airflow",data analyst,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '24000', 'high': '28000', 'currency': 'PLN'}"
Data Engineer,Mindbox S.A.,"Data, python, data modeling, data engineering",data analyst,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '27300', 'high': '35700', 'currency': 'PLN'}"
Junior Business Data Analyst / BI engineer,NIX Tech Kft.,"Data, power bi, tableau, dbms",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '5553', 'high': '7774', 'currency': 'PLN'}"
Data Engineer,Sii Polska,"Data, hadoop, spark, python",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '16800', 'high': '24150', 'currency': 'PLN'}"
Data Engineer III - Forecasting,Tesco Technology,"Data, python, hadoop, spark",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '26000', 'high': '40000', 'currency': 'PLN'}"
Data Engineer III - Fulfillment,Tesco Technology,"Data, scala, hadoop, kafka",data engineer,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '26000', 'high': '40000', 'currency': 'PLN'}"
