name,company,technology,job,location,salary,location_city,location_country,location_remote,salary_low,salary_high,salary_currency,salary_avg,is_senior,is_present
Medior/Senior Data Engineer Python,NIX Tech Kft.,"Data, python, sql, data engineering",data engineer,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '11107', 'high': '21103', 'currency': 'PLN'}",budapest,hu,False,11107.0,21103.0,PLN,16105.0,1,True
Data Engineer (Support team),Centrum Informatyki Statystycznej,"Data, spark, sql, python",data engineer,"{'city': 'Warszawa', 'country': 'N/A', 'remotely': False}","{'low': '8000', 'high': '14000', 'currency': 'PLN'}",warszawa,n/a,False,8000.0,14000.0,PLN,11000.0,0,True
Lead Data Scientist Engineer (1/517),Infolet,"Data, sql, degree, python",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '22680', 'high': '27720', 'currency': 'PLN'}",n/a,N/A,True,22680.0,27720.0,PLN,25200.0,0,True
Senior Data Scientist,MindMics.com,"Data, python, critical thinking, problem solving",data scientist,"{'city': 'Kraków', 'country': 'N/A', 'remotely': False}","{'low': '18000', 'high': '28000', 'currency': 'PLN'}",krakow,n/a,False,18000.0,28000.0,PLN,23000.0,1,True
Junior Data Scientist,datanalytics DA GmbH,"AI, python, git, machine learning",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '29008', 'high': '39886', 'currency': 'PLN'}",n/a,N/A,True,29008.0,39886.0,PLN,34447.0,0,True
Data Scientist,Sii Polska,"Data, python, pyspark, pytest",data scientist,"{'city': 'Zdalnie   \xa0+17', 'country': 'N/A', 'remotely': True}","{'low': '24000', 'high': '30000', 'currency': 'PLN'}",n/a,N/A,True,24000.0,30000.0,PLN,27000.0,0,True
Data Scientist,Devire,"AI, python, sql, t-sql",data scientist,"{'city': 'Gdynia   \xa0+2', 'country': 'N/A', 'remotely': False}","{'low': '16800', 'high': '21840', 'currency': 'PLN'}",gdynia,n/a,False,16800.0,21840.0,PLN,19320.0,0,True
Remote Senior Data Scientist,Link Group,"Data, sql, python, r",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '28560', 'currency': 'PLN'}",n/a,N/A,True,23520.0,28560.0,PLN,26040.0,1,True
Senior Data Scientist,Sigma IT Poland,"Data, python, data science, machine learning",data scientist,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '17600', 'high': '22400', 'currency': 'PLN'}",n/a,N/A,True,17600.0,22400.0,PLN,20000.0,1,True
Data Scientist ( Mid / Senior ),Addepto,"AI, python, deep learning, machine learning",data scientist,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '13000', 'high': '26000', 'currency': 'PLN'}",n/a,N/A,True,13000.0,26000.0,PLN,19500.0,1,True
Principal Data Scientist Engineer,Avenga,"Data, c++, java, communication skills",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '30240', 'high': '33600', 'currency': 'PLN'}",n/a,N/A,True,30240.0,33600.0,PLN,31920.0,0,True
Senior Data Scientist (BioPharma),Sigma IT Poland,"Data, python, machine learning, natural language processing",data scientist,"{'city': 'Zdalnie   \xa0+3', 'country': 'N/A', 'remotely': True}","{'low': '18480', 'high': '22680', 'currency': 'PLN'}",n/a,N/A,True,18480.0,22680.0,PLN,20580.0,1,True
Junior Data Scientist,NIX Tech Kft.,"Data, data science, machine learning, sql",data scientist,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '8885', 'high': '12217', 'currency': 'PLN'}",budapest,hu,False,8885.0,12217.0,PLN,10551.0,0,True
Medior Data Scientist,NIX Tech Kft.,"Data, data science, machine learning, sql",data scientist,"{'city': 'Budapest', 'country': 'HU', 'remotely': False}","{'low': '12217', 'high': '17771', 'currency': 'PLN'}",budapest,hu,False,12217.0,17771.0,PLN,14994.0,0,True
Data Scientist,Objectivity - part of Accenture,"AI, python, machine learning, sql",data scientist,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '16800', 'high': '25200', 'currency': 'PLN'}",n/a,N/A,True,16800.0,25200.0,PLN,21000.0,0,True
Senior Data Scientist REMOTE 🌍,Sigmoidal LLC,"AI, python, aws, scikit-learn",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '27265', 'high': '33881', 'currency': 'PLN'}",n/a,N/A,True,27265.0,33881.0,PLN,30573.0,1,True
Data Scientist,Numlabs,"AI, python, aws, tensorflow",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '9000', 'high': '14000', 'currency': 'PLN'}",n/a,N/A,True,9000.0,14000.0,PLN,11500.0,0,True
Senior Data Scientist,SKY ENGINE AI,"AI, computer vision, segmentation, machine learning",data scientist,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '20000', 'high': '28000', 'currency': 'PLN'}",warszawa,n/a,False,20000.0,28000.0,PLN,24000.0,1,True
Data Scientist,STS S.A.,"AI, python, git, apache kafka",data scientist,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '12000', 'high': '18500', 'currency': 'PLN'}",katowice,n/a,False,12000.0,18500.0,PLN,15250.0,0,True
Senior/ Tech Lead Data Scientist,AVENGA,"Data, python, degree, analytical skills",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '26880', 'high': '30240', 'currency': 'PLN'}",n/a,N/A,True,26880.0,30240.0,PLN,28560.0,1,True
Data Scientist - Security Team,Snowflake,"AI, sql, machine learning, python",data scientist,"{'city': 'Warsaw', 'country': 'N/A', 'remotely': False}","{'low': '30000', 'high': '60000', 'currency': 'PLN'}",warszawa,n/a,False,30000.0,60000.0,PLN,45000.0,0,True
Data Scientist,SquareOne,"Data, snowflake, sql, git",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '23520', 'high': '30240', 'currency': 'PLN'}",n/a,N/A,True,23520.0,30240.0,PLN,26880.0,0,True
Senior Data Scientist,Objectivity - part of Accenture,"AI, python, machine learning, sql",data scientist,"{'city': 'Zdalnie   \xa0+2', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}",n/a,N/A,True,25200.0,33600.0,PLN,29400.0,1,True
Lead Data Scientist,Addepto,"AI, python, deep learning, machine learning",data scientist,"{'city': 'Zdalnie   \xa0+5', 'country': 'N/A', 'remotely': True}","{'low': '19000', 'high': '34000', 'currency': 'PLN'}",n/a,N/A,True,19000.0,34000.0,PLN,26500.0,0,True
Senior Data Scientist,in4ge sp. z o.o.,"AI, data science, deep learning, python",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '28000', 'currency': 'PLN'}",n/a,N/A,True,20000.0,28000.0,PLN,24000.0,1,True
Senior Data Scientist,Spyrosoft,"AI, python, scala, angielski",data scientist,"{'city': 'Zdalnie   \xa0+1', 'country': 'N/A', 'remotely': True}","{'low': '25200', 'high': '33600', 'currency': 'PLN'}",n/a,N/A,True,25200.0,33600.0,PLN,29400.0,1,True
Senior Data Scientist,Reply Polska,"AI, python, machine learning, aws",data scientist,"{'city': 'Katowice', 'country': 'N/A', 'remotely': False}","{'low': '16000', 'high': '22000', 'currency': 'PLN'}",katowice,n/a,False,16000.0,22000.0,PLN,19000.0,1,True
Data Scientist with some C# Experience,able.tech,"Data, sql, data science, data warehouse",data scientist,"{'city': 'Zdalnie', 'country': 'N/A', 'remotely': True}","{'low': '20000', 'high': '30000', 'currency': 'PLN'}",n/a,N/A,True,20000.0,30000.0,PLN,25000.0,0,True
